IdFlightNumber,DepartureTime,Description,Type,Start_Airport,Goal_Airport,PlaneModel_Id,NIT_Airline
216,2022-11-26 16:54:00,Vuelo 216 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,BMW,1001005
217,2022-01-16 06:30:00,Vuelo 217 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,MIJ,1001002
218,2022-04-15 03:26:00,Vuelo 218 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,XNT,1001003
219,2022-03-28 17:26:00,Vuelo 219 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,CBK,1001001
220,2023-01-07 11:06:00,Vuelo 220 de Benito Juárez a Toronto Pearson,Comercial,Benito Juárez,Toronto Pearson,CBK,1001001
221,2022-09-16 10:20:00,Vuelo 221 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,AGX,1001003
222,2022-04-04 09:32:00,Vuelo 222 de Charles de Gaulle a Toronto Pearson,Comercial,Charles de Gaulle,Toronto Pearson,SMN,1001003
223,2022-06-30 10:57:00,Vuelo 223 de LAX a Heathrow,Privado,LAX,Heathrow,AGX,1001005
224,2022-10-16 05:05:00,Vuelo 224 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,BMW,1001005
225,2023-03-04 07:07:00,Vuelo 225 de JFK International a LAX,Privado,JFK International,LAX,MIJ,1001004
226,2022-04-26 05:58:00,Vuelo 226 de Heathrow a Charles de Gaulle,Comercial,Heathrow,Charles de Gaulle,AGX,1001002
227,2023-06-03 02:32:00,Vuelo 227 de Benito Juárez a JFK International,Comercial,Benito Juárez,JFK International,CBK,1001002
228,2022-05-13 08:08:00,Vuelo 228 de JFK International a LAX,Comercial,JFK International,LAX,SMN,1001005
229,2022-11-20 14:45:00,Vuelo 229 de JFK International a Charles de Gaulle,Comercial,JFK International,Charles de Gaulle,XNT,1001002
230,2023-02-06 02:17:00,Vuelo 230 de JFK International a Heathrow,Privado,JFK International,Heathrow,CBK,1001005
231,2023-03-21 14:56:00,Vuelo 231 de Toronto Pearson a JFK International,Comercial,Toronto Pearson,JFK International,SMN,1001004
232,2023-03-19 00:16:00,Vuelo 232 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,BMW,1001004
233,2023-12-26 12:27:00,Vuelo 233 de Charles de Gaulle a LAX,Privado,Charles de Gaulle,LAX,CBK,1001003
234,2023-05-01 05:42:00,Vuelo 234 de Benito Juárez a Heathrow,Comercial,Benito Juárez,Heathrow,XNT,1001005
235,2022-12-21 18:27:00,Vuelo 235 de LAX a JFK International,Privado,LAX,JFK International,AGX,1001004
236,2023-02-21 22:02:00,Vuelo 236 de Heathrow a Benito Juárez,Comercial,Heathrow,Benito Juárez,AGX,1001002
237,2022-03-18 03:48:00,Vuelo 237 de Toronto Pearson a Benito Juárez,Privado,Toronto Pearson,Benito Juárez,MIJ,1001004
238,2022-02-27 18:54:00,Vuelo 238 de Charles de Gaulle a Toronto Pearson,Comercial,Charles de Gaulle,Toronto Pearson,SMN,1001002
239,2023-04-29 07:48:00,Vuelo 239 de Heathrow a Charles de Gaulle,Privado,Heathrow,Charles de Gaulle,SMN,1001001
240,2022-09-06 12:40:00,Vuelo 240 de Benito Juárez a Heathrow,Comercial,Benito Juárez,Heathrow,XNT,1001005
241,2023-08-12 12:17:00,Vuelo 241 de Heathrow a Benito Juárez,Comercial,Heathrow,Benito Juárez,MIJ,1001004
242,2023-05-04 05:49:00,Vuelo 242 de Heathrow a Charles de Gaulle,Privado,Heathrow,Charles de Gaulle,SMN,1001003
243,2022-01-02 07:05:00,Vuelo 243 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,MIJ,1001003
244,2023-06-30 16:21:00,Vuelo 244 de LAX a JFK International,Privado,LAX,JFK International,MIJ,1001005
245,2023-10-23 19:24:00,Vuelo 245 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,AGX,1001001
246,2022-07-24 22:25:00,Vuelo 246 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,XNT,1001002
247,2022-11-29 19:18:00,Vuelo 247 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,MIJ,1001002
248,2022-07-02 11:55:00,Vuelo 248 de Heathrow a LAX,Privado,Heathrow,LAX,XNT,1001004
249,2022-04-18 16:33:00,Vuelo 249 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,CBK,1001002
250,2023-07-13 15:15:00,Vuelo 250 de Benito Juárez a JFK International,Comercial,Benito Juárez,JFK International,MIJ,1001003
251,2023-01-02 06:57:00,Vuelo 251 de LAX a Benito Juárez,Comercial,LAX,Benito Juárez,MIJ,1001005
252,2022-09-08 00:46:00,Vuelo 252 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,BMW,1001001
253,2022-05-01 07:48:00,Vuelo 253 de LAX a Toronto Pearson,Privado,LAX,Toronto Pearson,MIJ,1001004
254,2023-07-22 21:50:00,Vuelo 254 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,AGX,1001005
255,2023-07-23 19:33:00,Vuelo 255 de LAX a JFK International,Comercial,LAX,JFK International,MIJ,1001005
256,2022-08-16 15:35:00,Vuelo 256 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,AGX,1001003
257,2022-06-27 16:38:00,Vuelo 257 de Heathrow a LAX,Privado,Heathrow,LAX,BMW,1001004
258,2022-11-01 14:40:00,Vuelo 258 de Benito Juárez a JFK International,Comercial,Benito Juárez,JFK International,BMW,1001005
259,2022-09-11 02:42:00,Vuelo 259 de Charles de Gaulle a Heathrow,Privado,Charles de Gaulle,Heathrow,CBK,1001004
260,2023-06-01 00:02:00,Vuelo 260 de Heathrow a Charles de Gaulle,Comercial,Heathrow,Charles de Gaulle,AGX,1001004
261,2022-04-28 12:40:00,Vuelo 261 de Charles de Gaulle a Toronto Pearson,Privado,Charles de Gaulle,Toronto Pearson,XNT,1001004
262,2023-03-29 02:12:00,Vuelo 262 de Charles de Gaulle a Toronto Pearson,Privado,Charles de Gaulle,Toronto Pearson,CBK,1001003
263,2022-01-18 07:39:00,Vuelo 263 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,AGX,1001002
264,2023-08-02 07:31:00,Vuelo 264 de Benito Juárez a Toronto Pearson,Privado,Benito Juárez,Toronto Pearson,CBK,1001003
265,2023-01-31 19:06:00,Vuelo 265 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,MIJ,1001004
266,2022-04-05 12:23:00,Vuelo 266 de LAX a Benito Juárez,Comercial,LAX,Benito Juárez,CBK,1001003
267,2022-10-19 10:45:00,Vuelo 267 de Benito Juárez a Toronto Pearson,Comercial,Benito Juárez,Toronto Pearson,BMW,1001002
268,2023-03-22 07:17:00,Vuelo 268 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,MIJ,1001005
269,2022-05-07 11:01:00,Vuelo 269 de Toronto Pearson a JFK International,Comercial,Toronto Pearson,JFK International,BMW,1001002
270,2023-04-24 13:35:00,Vuelo 270 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,BMW,1001003
271,2023-02-05 10:02:00,Vuelo 271 de JFK International a Toronto Pearson,Privado,JFK International,Toronto Pearson,MIJ,1001003
272,2023-03-03 09:36:00,Vuelo 272 de Heathrow a Toronto Pearson,Comercial,Heathrow,Toronto Pearson,AGX,1001003
273,2022-08-17 13:13:00,Vuelo 273 de JFK International a Charles de Gaulle,Privado,JFK International,Charles de Gaulle,XNT,1001003
274,2022-07-28 06:29:00,Vuelo 274 de Benito Juárez a Toronto Pearson,Privado,Benito Juárez,Toronto Pearson,XNT,1001002
275,2022-02-08 02:05:00,Vuelo 275 de Benito Juárez a LAX,Comercial,Benito Juárez,LAX,XNT,1001003
276,2023-11-03 13:25:00,Vuelo 276 de JFK International a Toronto Pearson,Comercial,JFK International,Toronto Pearson,CBK,1001004
277,2023-04-08 05:26:00,Vuelo 277 de Charles de Gaulle a LAX,Comercial,Charles de Gaulle,LAX,SMN,1001002
278,2023-01-03 14:33:00,Vuelo 278 de Charles de Gaulle a LAX,Comercial,Charles de Gaulle,LAX,CBK,1001003
279,2023-11-23 18:10:00,Vuelo 279 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,CBK,1001001
280,2022-08-03 01:36:00,Vuelo 280 de JFK International a Benito Juárez,Comercial,JFK International,Benito Juárez,AGX,1001003
281,2023-04-11 10:24:00,Vuelo 281 de Charles de Gaulle a Toronto Pearson,Comercial,Charles de Gaulle,Toronto Pearson,AGX,1001005
282,2023-07-11 08:20:00,Vuelo 282 de Benito Juárez a Heathrow,Comercial,Benito Juárez,Heathrow,AGX,1001002
283,2023-07-18 09:33:00,Vuelo 283 de LAX a JFK International,Privado,LAX,JFK International,MIJ,1001005
284,2023-01-21 03:59:00,Vuelo 284 de JFK International a Toronto Pearson,Privado,JFK International,Toronto Pearson,MIJ,1001002
285,2023-12-27 10:21:00,Vuelo 285 de LAX a Charles de Gaulle,Comercial,LAX,Charles de Gaulle,AGX,1001002
286,2022-09-03 01:43:00,Vuelo 286 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,BMW,1001004
287,2022-04-24 05:05:00,Vuelo 287 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,SMN,1001003
288,2022-07-13 11:25:00,Vuelo 288 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,XNT,1001003
289,2022-04-14 03:16:00,Vuelo 289 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,MIJ,1001005
290,2022-01-09 16:12:00,Vuelo 290 de Heathrow a JFK International,Privado,Heathrow,JFK International,MIJ,1001005
291,2023-06-16 01:49:00,Vuelo 291 de Charles de Gaulle a Toronto Pearson,Comercial,Charles de Gaulle,Toronto Pearson,MIJ,1001005
292,2023-11-28 05:13:00,Vuelo 292 de Heathrow a Charles de Gaulle,Comercial,Heathrow,Charles de Gaulle,MIJ,1001003
293,2022-03-28 05:33:00,Vuelo 293 de JFK International a Toronto Pearson,Privado,JFK International,Toronto Pearson,MIJ,1001004
294,2022-05-31 18:49:00,Vuelo 294 de Toronto Pearson a LAX,Comercial,Toronto Pearson,LAX,BMW,1001001
295,2022-05-10 23:02:00,Vuelo 295 de Benito Juárez a JFK International,Comercial,Benito Juárez,JFK International,BMW,1001001
296,2023-09-29 19:54:00,Vuelo 296 de Heathrow a LAX,Privado,Heathrow,LAX,XNT,1001003
297,2023-12-12 19:43:00,Vuelo 297 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,MIJ,1001004
298,2022-09-12 04:27:00,Vuelo 298 de Charles de Gaulle a Benito Juárez,Privado,Charles de Gaulle,Benito Juárez,MIJ,1001001
299,2022-11-01 21:16:00,Vuelo 299 de Benito Juárez a Toronto Pearson,Privado,Benito Juárez,Toronto Pearson,XNT,1001003
300,2022-03-17 18:17:00,Vuelo 300 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,MIJ,1001004
301,2022-07-23 16:12:00,Vuelo 301 de LAX a Heathrow,Comercial,LAX,Heathrow,AGX,1001001
302,2023-05-30 14:44:00,Vuelo 302 de Charles de Gaulle a Toronto Pearson,Privado,Charles de Gaulle,Toronto Pearson,AGX,1001005
303,2023-03-12 01:19:00,Vuelo 303 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,AGX,1001002
304,2023-05-30 22:14:00,Vuelo 304 de JFK International a Heathrow,Privado,JFK International,Heathrow,MIJ,1001001
305,2023-07-07 18:27:00,Vuelo 305 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,CBK,1001004
306,2023-11-13 19:41:00,Vuelo 306 de Charles de Gaulle a Toronto Pearson,Comercial,Charles de Gaulle,Toronto Pearson,CBK,1001001
307,2022-05-04 02:16:00,Vuelo 307 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,CBK,1001004
308,2023-09-13 17:28:00,Vuelo 308 de Charles de Gaulle a JFK International,Privado,Charles de Gaulle,JFK International,SMN,1001001
309,2022-06-20 22:03:00,Vuelo 309 de Heathrow a LAX,Privado,Heathrow,LAX,BMW,1001004
310,2022-10-27 08:40:00,Vuelo 310 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,BMW,1001001
311,2023-04-27 12:37:00,Vuelo 311 de Toronto Pearson a Charles de Gaulle,Privado,Toronto Pearson,Charles de Gaulle,AGX,1001001
312,2022-12-25 20:45:00,Vuelo 312 de LAX a JFK International,Comercial,LAX,JFK International,XNT,1001005
313,2022-07-29 05:57:00,Vuelo 313 de Heathrow a Charles de Gaulle,Privado,Heathrow,Charles de Gaulle,BMW,1001002
314,2023-05-05 04:58:00,Vuelo 314 de Heathrow a JFK International,Privado,Heathrow,JFK International,MIJ,1001002
315,2023-10-01 06:41:00,Vuelo 315 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,CBK,1001003
316,2023-03-26 04:58:00,Vuelo 316 de Toronto Pearson a Charles de Gaulle,Comercial,Toronto Pearson,Charles de Gaulle,SMN,1001004
317,2022-05-04 14:26:00,Vuelo 317 de LAX a JFK International,Comercial,LAX,JFK International,CBK,1001003
318,2022-09-26 09:02:00,Vuelo 318 de JFK International a Heathrow,Privado,JFK International,Heathrow,CBK,1001002
319,2022-10-07 01:18:00,Vuelo 319 de JFK International a Charles de Gaulle,Comercial,JFK International,Charles de Gaulle,SMN,1001001
320,2022-07-06 22:31:00,Vuelo 320 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,MIJ,1001005
321,2023-01-10 14:22:00,Vuelo 321 de Heathrow a JFK International,Comercial,Heathrow,JFK International,MIJ,1001003
322,2023-11-22 09:28:00,Vuelo 322 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,SMN,1001004
323,2022-03-26 18:00:00,Vuelo 323 de JFK International a Heathrow,Privado,JFK International,Heathrow,MIJ,1001003
324,2022-04-19 12:26:00,Vuelo 324 de Heathrow a Charles de Gaulle,Privado,Heathrow,Charles de Gaulle,MIJ,1001004
325,2023-05-31 12:17:00,Vuelo 325 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,SMN,1001005
326,2022-02-02 09:24:00,Vuelo 326 de Charles de Gaulle a Heathrow,Privado,Charles de Gaulle,Heathrow,MIJ,1001004
327,2023-12-21 06:33:00,Vuelo 327 de Heathrow a Benito Juárez,Privado,Heathrow,Benito Juárez,MIJ,1001002
328,2023-12-11 14:38:00,Vuelo 328 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,CBK,1001002
329,2023-10-02 23:18:00,Vuelo 329 de Charles de Gaulle a Heathrow,Privado,Charles de Gaulle,Heathrow,MIJ,1001002
330,2022-03-19 06:35:00,Vuelo 330 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,SMN,1001003
331,2023-02-21 14:19:00,Vuelo 331 de Toronto Pearson a Charles de Gaulle,Privado,Toronto Pearson,Charles de Gaulle,XNT,1001005
332,2023-01-28 20:52:00,Vuelo 332 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,CBK,1001005
333,2023-11-10 04:19:00,Vuelo 333 de Charles de Gaulle a Benito Juárez,Privado,Charles de Gaulle,Benito Juárez,XNT,1001002
334,2023-12-12 14:38:00,Vuelo 334 de JFK International a LAX,Privado,JFK International,LAX,XNT,1001002
335,2022-12-13 04:31:00,Vuelo 335 de LAX a Toronto Pearson,Privado,LAX,Toronto Pearson,SMN,1001005
336,2022-12-14 00:00:00,Vuelo 336 de JFK International a LAX,Comercial,JFK International,LAX,CBK,1001004
337,2022-12-04 17:23:00,Vuelo 337 de Toronto Pearson a JFK International,Comercial,Toronto Pearson,JFK International,CBK,1001003
338,2022-07-12 05:11:00,Vuelo 338 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,XNT,1001003
339,2023-04-19 10:17:00,Vuelo 339 de Charles de Gaulle a JFK International,Privado,Charles de Gaulle,JFK International,CBK,1001005
340,2022-05-19 09:21:00,Vuelo 340 de Heathrow a JFK International,Comercial,Heathrow,JFK International,AGX,1001003
341,2022-10-01 00:55:00,Vuelo 341 de Toronto Pearson a Charles de Gaulle,Privado,Toronto Pearson,Charles de Gaulle,MIJ,1001005
342,2023-12-27 21:03:00,Vuelo 342 de Toronto Pearson a Charles de Gaulle,Comercial,Toronto Pearson,Charles de Gaulle,AGX,1001001
343,2023-01-23 02:34:00,Vuelo 343 de LAX a Benito Juárez,Comercial,LAX,Benito Juárez,CBK,1001002
344,2022-09-18 00:32:00,Vuelo 344 de JFK International a Charles de Gaulle,Privado,JFK International,Charles de Gaulle,XNT,1001005
345,2022-06-28 22:36:00,Vuelo 345 de Toronto Pearson a LAX,Comercial,Toronto Pearson,LAX,BMW,1001002
346,2022-09-15 10:11:00,Vuelo 346 de Toronto Pearson a JFK International,Comercial,Toronto Pearson,JFK International,XNT,1001002
347,2023-11-29 21:11:00,Vuelo 347 de Toronto Pearson a Benito Juárez,Privado,Toronto Pearson,Benito Juárez,XNT,1001002
348,2023-09-26 01:04:00,Vuelo 348 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,XNT,1001004
349,2023-04-08 12:41:00,Vuelo 349 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,AGX,1001001
350,2023-01-02 16:36:00,Vuelo 350 de Benito Juárez a LAX,Comercial,Benito Juárez,LAX,AGX,1001003
351,2022-10-24 07:06:00,Vuelo 351 de Toronto Pearson a Heathrow,Comercial,Toronto Pearson,Heathrow,XNT,1001001
352,2023-12-25 08:51:00,Vuelo 352 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,SMN,1001005
353,2022-06-02 10:32:00,Vuelo 353 de LAX a Heathrow,Privado,LAX,Heathrow,BMW,1001001
354,2023-07-04 16:51:00,Vuelo 354 de Charles de Gaulle a JFK International,Privado,Charles de Gaulle,JFK International,XNT,1001004
355,2023-05-19 08:02:00,Vuelo 355 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,MIJ,1001004
356,2023-07-25 15:51:00,Vuelo 356 de Heathrow a JFK International,Comercial,Heathrow,JFK International,CBK,1001005
357,2023-04-17 10:25:00,Vuelo 357 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,CBK,1001001
358,2022-06-05 07:04:00,Vuelo 358 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,CBK,1001004
359,2023-07-29 02:59:00,Vuelo 359 de JFK International a Heathrow,Privado,JFK International,Heathrow,AGX,1001001
360,2023-12-06 01:17:00,Vuelo 360 de JFK International a LAX,Privado,JFK International,LAX,CBK,1001002
361,2023-11-27 01:28:00,Vuelo 361 de Toronto Pearson a Charles de Gaulle,Privado,Toronto Pearson,Charles de Gaulle,XNT,1001002
362,2022-08-02 18:13:00,Vuelo 362 de JFK International a Toronto Pearson,Comercial,JFK International,Toronto Pearson,SMN,1001003
363,2023-06-18 19:35:00,Vuelo 363 de Heathrow a JFK International,Comercial,Heathrow,JFK International,BMW,1001002
364,2023-07-29 17:57:00,Vuelo 364 de JFK International a Toronto Pearson,Comercial,JFK International,Toronto Pearson,SMN,1001002
365,2022-06-17 12:11:00,Vuelo 365 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,BMW,1001005
366,2023-08-03 11:58:00,Vuelo 366 de Benito Juárez a JFK International,Comercial,Benito Juárez,JFK International,BMW,1001003
367,2022-02-26 16:17:00,Vuelo 367 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,CBK,1001003
368,2023-09-18 19:49:00,Vuelo 368 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,MIJ,1001004
369,2023-08-21 13:11:00,Vuelo 369 de Toronto Pearson a JFK International,Comercial,Toronto Pearson,JFK International,XNT,1001003
370,2022-06-06 14:06:00,Vuelo 370 de Charles de Gaulle a Toronto Pearson,Privado,Charles de Gaulle,Toronto Pearson,CBK,1001002
371,2023-10-01 13:02:00,Vuelo 371 de Heathrow a JFK International,Comercial,Heathrow,JFK International,AGX,1001004
372,2022-11-22 08:07:00,Vuelo 372 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,AGX,1001003
373,2023-04-03 11:16:00,Vuelo 373 de Toronto Pearson a LAX,Privado,Toronto Pearson,LAX,XNT,1001004
374,2022-06-30 01:17:00,Vuelo 374 de Charles de Gaulle a Toronto Pearson,Comercial,Charles de Gaulle,Toronto Pearson,SMN,1001003
375,2022-03-23 18:25:00,Vuelo 375 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,CBK,1001001
376,2023-10-17 01:58:00,Vuelo 376 de JFK International a Benito Juárez,Comercial,JFK International,Benito Juárez,AGX,1001001
377,2023-08-19 21:39:00,Vuelo 377 de Heathrow a LAX,Comercial,Heathrow,LAX,BMW,1001004
378,2023-05-31 19:45:00,Vuelo 378 de Charles de Gaulle a Benito Juárez,Comercial,Charles de Gaulle,Benito Juárez,CBK,1001005
379,2022-02-03 21:41:00,Vuelo 379 de Heathrow a LAX,Privado,Heathrow,LAX,XNT,1001001
380,2022-01-02 05:34:00,Vuelo 380 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,XNT,1001002
381,2023-10-07 12:39:00,Vuelo 381 de Heathrow a Charles de Gaulle,Comercial,Heathrow,Charles de Gaulle,SMN,1001003
382,2023-06-19 13:03:00,Vuelo 382 de LAX a Charles de Gaulle,Comercial,LAX,Charles de Gaulle,MIJ,1001005
383,2022-03-27 23:27:00,Vuelo 383 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,AGX,1001003
384,2023-05-27 14:30:00,Vuelo 384 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,MIJ,1001004
385,2023-09-20 01:42:00,Vuelo 385 de Heathrow a Charles de Gaulle,Comercial,Heathrow,Charles de Gaulle,SMN,1001001
386,2023-05-25 07:40:00,Vuelo 386 de Charles de Gaulle a LAX,Privado,Charles de Gaulle,LAX,SMN,1001001
387,2022-09-13 15:02:00,Vuelo 387 de Charles de Gaulle a LAX,Comercial,Charles de Gaulle,LAX,BMW,1001004
388,2022-09-15 21:10:00,Vuelo 388 de Toronto Pearson a LAX,Privado,Toronto Pearson,LAX,CBK,1001004
389,2023-12-14 14:17:00,Vuelo 389 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,CBK,1001003
390,2022-12-19 17:50:00,Vuelo 390 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,BMW,1001001
391,2023-07-09 16:03:00,Vuelo 391 de Benito Juárez a Toronto Pearson,Comercial,Benito Juárez,Toronto Pearson,AGX,1001001
392,2022-06-25 11:33:00,Vuelo 392 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,MIJ,1001003
393,2022-09-27 06:11:00,Vuelo 393 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,BMW,1001001
394,2023-07-06 01:16:00,Vuelo 394 de JFK International a Heathrow,Privado,JFK International,Heathrow,BMW,1001001
395,2022-12-31 20:40:00,Vuelo 395 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,SMN,1001004
396,2023-07-25 16:56:00,Vuelo 396 de Charles de Gaulle a Benito Juárez,Comercial,Charles de Gaulle,Benito Juárez,CBK,1001001
397,2023-03-07 08:10:00,Vuelo 397 de Charles de Gaulle a Toronto Pearson,Privado,Charles de Gaulle,Toronto Pearson,AGX,1001004
398,2023-02-13 09:44:00,Vuelo 398 de Benito Juárez a LAX,Comercial,Benito Juárez,LAX,MIJ,1001002
399,2022-06-10 04:54:00,Vuelo 399 de Heathrow a Benito Juárez,Privado,Heathrow,Benito Juárez,BMW,1001005
400,2023-03-03 08:40:00,Vuelo 400 de JFK International a LAX,Comercial,JFK International,LAX,AGX,1001002
401,2022-04-23 11:40:00,Vuelo 401 de Heathrow a Charles de Gaulle,Comercial,Heathrow,Charles de Gaulle,AGX,1001002
402,2022-03-27 14:35:00,Vuelo 402 de Heathrow a Toronto Pearson,Comercial,Heathrow,Toronto Pearson,SMN,1001002
403,2022-11-11 06:51:00,Vuelo 403 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,BMW,1001001
404,2022-02-08 01:33:00,Vuelo 404 de Benito Juárez a Heathrow,Comercial,Benito Juárez,Heathrow,BMW,1001001
405,2023-11-16 05:37:00,Vuelo 405 de LAX a JFK International,Privado,LAX,JFK International,SMN,1001004
406,2022-01-11 07:20:00,Vuelo 406 de Heathrow a Toronto Pearson,Comercial,Heathrow,Toronto Pearson,SMN,1001004
407,2022-03-25 03:40:00,Vuelo 407 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,CBK,1001003
408,2022-11-13 20:39:00,Vuelo 408 de Heathrow a Benito Juárez,Privado,Heathrow,Benito Juárez,XNT,1001005
409,2022-05-26 14:48:00,Vuelo 409 de Heathrow a Benito Juárez,Comercial,Heathrow,Benito Juárez,MIJ,1001002
410,2023-12-02 09:17:00,Vuelo 410 de LAX a Benito Juárez,Comercial,LAX,Benito Juárez,XNT,1001004
411,2023-07-03 02:13:00,Vuelo 411 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,SMN,1001003
412,2023-04-28 15:05:00,Vuelo 412 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,AGX,1001001
413,2022-05-28 03:36:00,Vuelo 413 de LAX a Heathrow,Privado,LAX,Heathrow,SMN,1001002
414,2022-08-20 00:53:00,Vuelo 414 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,CBK,1001005
415,2023-01-20 08:07:00,Vuelo 415 de JFK International a Charles de Gaulle,Comercial,JFK International,Charles de Gaulle,MIJ,1001001
416,2022-09-05 05:48:00,Vuelo 416 de Toronto Pearson a LAX,Privado,Toronto Pearson,LAX,MIJ,1001003
417,2023-09-11 21:55:00,Vuelo 417 de JFK International a Toronto Pearson,Privado,JFK International,Toronto Pearson,CBK,1001004
418,2023-05-29 20:49:00,Vuelo 418 de Heathrow a Benito Juárez,Privado,Heathrow,Benito Juárez,CBK,1001004
419,2023-09-23 21:18:00,Vuelo 419 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,MIJ,1001004
420,2023-11-12 09:26:00,Vuelo 420 de JFK International a Heathrow,Privado,JFK International,Heathrow,BMW,1001001
421,2022-03-11 17:06:00,Vuelo 421 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,XNT,1001003
422,2023-12-26 05:37:00,Vuelo 422 de Charles de Gaulle a Toronto Pearson,Privado,Charles de Gaulle,Toronto Pearson,AGX,1001003
423,2022-09-08 21:05:00,Vuelo 423 de Charles de Gaulle a Benito Juárez,Privado,Charles de Gaulle,Benito Juárez,MIJ,1001002
424,2022-03-24 00:47:00,Vuelo 424 de Toronto Pearson a LAX,Comercial,Toronto Pearson,LAX,MIJ,1001003
425,2022-12-29 03:20:00,Vuelo 425 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,BMW,1001002
426,2022-08-17 05:55:00,Vuelo 426 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,MIJ,1001003
427,2022-12-29 20:22:00,Vuelo 427 de Heathrow a LAX,Comercial,Heathrow,LAX,BMW,1001004
428,2023-03-27 14:57:00,Vuelo 428 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,AGX,1001003
429,2022-09-29 00:57:00,Vuelo 429 de Heathrow a Benito Juárez,Comercial,Heathrow,Benito Juárez,XNT,1001003
